[[27, 0], [211, 92]]
[[105, 0], [289, 146]]
[[121, 0], [305, 164]]
[[178, 107], [362, 291]]
[[53, 132], [237, 316]]
[[108, 113], [292, 297]]
[[160, 163], [344, 347]]
[[32, 167], [216, 351]]
[[0, 72], [181, 256]]
[[121, 0], [305, 119]]
[[194, 0], [378, 142]]
[[57, 0], [241, 157]]
[[157, 43], [341, 227]]
[[236, 0], [420, 122]]
[[143, 74], [327, 258]]
[[192, 130], [376, 314]]
[[91, 67], [275, 251]]
[[16, 0], [200, 152]]
[[0, 82], [114, 266]]
[[18, 178], [202, 362]]
[[0, 68], [170, 252]]
[[0, 195], [121, 379]]
[[0, 275], [176, 459]]
[[1, 411], [185, 595]]
[[113, 385], [297, 569]]
[[87, 266], [271, 450]]
[[215, 271], [399, 455]]
[[208, 263], [392, 447]]
[[155, 306], [339, 490]]
[[101, 327], [285, 511]]
[[0, 409], [146, 593]]
[[15, 343], [199, 527]]
[[0, 309], [161, 493]]
[[0, 211], [131, 395]]
[[0, 73], [178, 257]]
[[0, 0], [157, 165]]
[[96, 42], [280, 226]]
[[106, 156], [290, 340]]
[[0, 18], [150, 202]]
[[54, 0], [238, 120]]
[[0, 0], [99, 165]]
[[36, 107], [220, 291]]
[[0, 183], [149, 367]]
[[48, 307], [232, 491]]
[[106, 394], [290, 578]]
[[171, 392], [355, 576]]
[[121, 422], [305, 606]]
[[210, 463], [394, 647]]
[[336, 466], [520, 650]]
[[209, 329], [393, 513]]
[[317, 451], [501, 635]]
[[434, 487], [618, 671]]
[[525, 431], [709, 615]]
[[597, 377], [720, 561]]
[[486, 263], [670, 447]]
[[526, 335], [710, 519]]
[[626, 284], [720, 468]]
[[486, 396], [670, 580]]
[[469, 350], [653, 534]]
[[355, 410], [539, 594]]
[[327, 417], [511, 601]]
[[373, 300], [557, 484]]
[[298, 343], [482, 527]]
[[244, 441], [428, 625]]
[[367, 538], [551, 722]]
[[406, 480], [590, 664]]
[[330, 358], [514, 542]]
[[356, 464], [540, 648]]
[[362, 346], [546, 530]]
[[304, 258], [488, 442]]
[[308, 348], [492, 532]]
[[272, 444], [456, 628]]
[[336, 540], [520, 724]]
[[302, 666], [486, 850]]
[[239, 689], [423, 873]]
[[242, 805], [426, 989]]
[[243, 727], [427, 911]]
[[123, 775], [307, 959]]
[[160, 654], [344, 838]]
[[59, 750], [243, 934]]
[[0, 760], [161, 944]]
[[47, 822], [231, 1006]]
[[21, 846], [205, 1030]]
[[0, 974], [150, 1158]]
[[109, 1102], [293, 1280]]
[[202, 1176], [386, 1280]]
[[324, 1162], [508, 1280]]
[[199, 1135], [383, 1280]]
[[94, 1045], [278, 1229]]
[[138, 939], [322, 1123]]
[[29, 1054], [213, 1238]]
[[146, 1024], [330, 1208]]
[[213, 906], [397, 1090]]
[[343, 869], [527, 1053]]
[[374, 768], [558, 952]]
[[398, 723], [582, 907]]
[[521, 768], [705, 952]]
[[609, 656], [720, 840]]
[[519, 762], [703, 946]]
[[498, 788], [682, 972]]
